block_id,entry_index,direction,signal_time,entry_time,exit_time,entry,initial_sl,tp,exit,lots,risk_pips,gross_pips,net_pips,pnl_usd,reason,capital_after
2044,43941,short,2026-07-08 19:36:00,2026-07-08 19:37:00,2026-07-08 19:45:00,1.1403699999999999,1.14123,1.1386499999999997,1.14134,0.73,8.60000000000083,-9.700000000001374,-10.700000000001374,-78.11000000001003,SL,8546.909999999838
2416,52290,long,2026-07-16 14:58:00,2026-07-16 14:59:00,2026-07-16 15:37:00,1.14694,1.1455,1.1498200000000003,1.14539,0.48,14.400000000001079,-15.500000000001624,-16.500000000001624,-79.20000000000779,SL,8467.70999999983
2554,60698,long,2026-07-24 11:19:00,2026-07-24 11:20:00,2026-07-24 14:38:00,1.13869,1.13802,1.1400299999999999,1.13791,0.85,6.699999999999484,-7.800000000000029,-8.80000000000003,-74.80000000000024,SL,8392.909999999829
2603,62116,long,2026-07-27 11:00:00,2026-07-27 11:01:00,2026-07-27 13:11:00,1.13992,1.13934,1.14108,1.13923,0.93,5.800000000000249,-6.900000000000794,-7.900000000000794,-73.47000000000739,SL,8319.439999999822
2709,66070,long,2026-07-30 05:00:00,2026-07-30 05:01:00,2026-07-30 06:22:00,1.14552,1.1447800000000001,1.147,1.14467,0.78,7.399999999999629,-8.500000000000174,-9.500000000000174,-74.10000000000136,SL,8245.33999999982
2828,66823,long,2026-07-30 17:33:00,2026-07-30 17:34:00,2026-07-30 17:52:00,1.15192,1.1507045,1.1543510000000001,1.1505945,0.53,12.15500000000036,-13.255000000000905,-14.255000000000905,-75.5515000000048,SL,8169.788499999815
2849,67012,short,2026-07-30 20:42:00,2026-07-30 20:43:00,2026-07-30 21:00:00,1.15221,1.15314,1.1503499999999998,1.15325,0.65,9.300000000000974,-10.40000000000152,-11.40000000000152,-74.10000000000989,SL,8095.688499999806
2941,68300,long,2026-07-31 18:12:00,2026-07-31 18:13:00,2026-07-31 20:24:00,1.1501000000000001,1.1488915000000002,1.152517,1.152407,0.52,12.084999999999457,23.06999999999837,22.06999999999837,114.76399999999153,TP,8210.452499999798
2985,68642,long,2026-07-31 23:54:00,2026-07-31 23:55:00,2026-07-31 23:56:00,1.15406,1.1532,1.1557800000000003,1.15309,0.69,8.60000000000083,-9.700000000001374,-10.700000000001374,-73.83000000000948,SL,8136.6224999997885
2977,68646,long,2026-08-03 00:01:00,2026-08-03 00:02:00,2026-08-03 10:17:00,1.15479,1.15214,1.16009,1.1520299999999999,0.27,26.500000000000412,-27.600000000000957,-28.600000000000957,-77.22000000000259,SL,8059.4024999997855
3067,72268,short,2026-08-05 12:27:00,2026-08-05 12:28:00,2026-08-05 14:19:00,1.1538599999999999,1.15463,1.1523199999999996,1.15474,0.73,7.7000000000015945,-8.80000000000214,-9.80000000000214,-71.54000000001561,SL,7987.86249999977
3156,79646,long,2026-08-12 15:36:00,2026-08-12 15:37:00,2026-08-12 17:52:00,1.15514,1.1539584999999999,1.1575030000000004,1.1538484999999998,0.53,11.815000000001685,-12.91500000000223,-13.91500000000223,-73.74950000001182,SL,7914.112999999758
3176,81146,long,2026-08-13 16:38:00,2026-08-13 16:39:00,2026-08-13 18:28:00,1.1534200000000001,1.15249,1.1552800000000003,1.15331,0.63,9.300000000000974,-1.100000000000545,-2.100000000000545,-13.230000000003434,BE,7900.882999999755
3409,89677,short,2026-08-21 15:02:00,2026-08-21 15:03:00,2026-08-21 16:23:00,1.16994,1.1707699999999999,1.1682800000000002,1.1683900000000003,0.68,8.299999999998864,15.499999999997183,14.499999999997183,98.59999999998084,TP,7999.482999999736
3431,91154,short,2026-08-24 15:42:00,2026-08-24 15:43:00,2026-08-25 03:00:00,1.16688,1.1678199999999999,1.165,1.16699,0.63,9.399999999999409,-1.100000000000545,-2.100000000000545,-13.230000000003434,BE,7986.252999999733
3484,96953,long,2026-08-28 16:37:00,2026-08-28 16:38:00,2026-08-28 17:00:00,1.16432,1.16367,1.16562,1.16356,0.82,6.500000000000394,-7.600000000000939,-8.60000000000094,-70.5200000000077,SL,7915.7329999997255
3555,99937,long,2026-09-01 18:26:00,2026-09-01 18:27:00,2026-09-01 18:29:00,1.15927,1.15872,1.1603700000000001,1.15923,0.9,5.5000000000005045,-0.40000000000040004,-1.4000000000004,-12.600000000003602,END,7903.1329999997215
